"Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","Country"
1990,75,"0.03066","0.03019","0.5",74095,"2237","72977","869395","11.73","AUS"
1990,76,"0.03415","0.03358","0.5",71858,"2413","70652","796419","11.08","AUS"
1990,77,"0.03925","0.0385","0.5",69445,"2673","68109","725767","10.45","AUS"
1990,78,"0.04329","0.04238","0.5",66772,"2830","65357","657658","9.85","AUS"
1990,79,"0.05082","0.04956","0.5",63942,"3169","62358","592301","9.26","AUS"
1990,80,"0.05425","0.05282","0.5",60773,"3210","59168","529943","8.72","AUS"
1990,81,"0.05749","0.05588","0.5",57563,"3217","55955","470775","8.18","AUS"
1990,82,"0.06969","0.06735","0.5",54347,"3660","52516","414820","7.63","AUS"
1990,83,"0.07441","0.07174","0.5",50686,"3636","48868","362303","7.15","AUS"
1990,84,"0.08671","0.08311","0.5",47050,"3910","45095","313435","6.66","AUS"
1990,85,"0.09663","0.09218","0.5",43140,"3977","41152","268340","6.22","AUS"
1990,86,"0.10841","0.10284","0.5",39163,"4027","37150","227188","5.8","AUS"
1990,87,"0.11691","0.11045","0.5",35136,"3881","33196","190039","5.41","AUS"
1990,88,"0.13304","0.12475","0.5",31255,"3899","29306","156843","5.02","AUS"
1990,89,"0.15777","0.14623","0.5",27356,"4000","25356","127537","4.66","AUS"
1990,90,"0.16987","0.15657","0.5",23356,"3657","21527","102181","4.37","AUS"
1990,91,"0.17457","0.16056","0.5",19699,"3163","18118","80654","4.09","AUS"
1990,92,"0.20777","0.18821","0.5",16536,"3112","14980","62536","3.78","AUS"
1990,93,"0.20997","0.19002","0.5",13424,"2551","12148","47556","3.54","AUS"
1990,94,"0.2518","0.22364","0.5",10873,"2432","9657","35408","3.26","AUS"
1990,95,"0.27024","0.23807","0.5",8441,"2010","7437","25750","3.05","AUS"
1990,96,"0.29561","0.25754","0.5",6432,"1656","5604","18314","2.85","AUS"
1990,97,"0.32231","0.27758","0.5",4775,"1326","4113","12710","2.66","AUS"
1990,98,"0.35023","0.29804","0.5",3450,"1028","2936","8598","2.49","AUS"
1990,99,"0.37921","0.31877","0.5",2422,"772","2036","5662","2.34","AUS"
1990,100,"0.40908","0.33961","0.5",1650,"560","1370","3627","2.2","AUS"
1990,101,"0.43963","0.36041","0.5",1089,"393","893","2257","2.07","AUS"
1990,102,"0.47065","0.38099","0.5",697,"265","564","1364","1.96","AUS"
1990,103,"0.5019","0.40121","0.5",431,"173","345","800","1.85","AUS"
1990,104,"0.53313","0.42092","0.5",258,"109","204","455","1.76","AUS"
1990,105,"0.5641","0.44","0.5",150,"66","117","251","1.68","AUS"
1990,106,"0.59459","0.45833","0.5",84,"38","65","134","1.61","AUS"
1990,107,"0.62436","0.47582","0.5",45,"22","35","70","1.54","AUS"
1990,108,"0.65322","0.4924","0.5",24,"12","18","35","1.49","AUS"
1990,109,"0.68099","0.50801","0.5",12,"6","9","17","1.44","AUS"
1990,110,"0.70754","1","1.41",6,"6","8","8","1.41","AUS"
1991,75,"0.02871","0.02831","0.5",74771,"2117","73713","890950","11.92","AUS"
1991,76,"0.03398","0.03342","0.5",72654,"2428","71440","817238","11.25","AUS"
1991,77,"0.03866","0.03793","0.5",70226,"2664","68895","745798","10.62","AUS"
1991,78,"0.04238","0.0415","0.5",67563,"2804","66161","676903","10.02","AUS"
1991,79,"0.04897","0.0478","0.5",64759,"3095","63211","610742","9.43","AUS"
1991,80,"0.05303","0.05166","0.5",61664,"3186","60071","547531","8.88","AUS"
1991,81,"0.05501","0.05354","0.5",58478,"3131","56913","487460","8.34","AUS"
1991,82,"0.06771","0.06549","0.5",55347,"3625","53535","430548","7.78","AUS"
1991,83,"0.07596","0.07318","0.5",51722,"3785","49830","377013","7.29","AUS"
1991,84,"0.08012","0.07703","0.5",47938,"3693","46091","327183","6.83","AUS"
1991,85,"0.09436","0.09011","0.5",44245,"3987","42251","281092","6.35","AUS"
1991,86,"0.10087","0.09602","0.5",40258,"3866","38325","238840","5.93","AUS"
1991,87,"0.12056","0.11371","0.5",36392,"4138","34323","200515","5.51","AUS"
1991,88,"0.12514","0.11777","0.5",32254,"3799","30355","166192","5.15","AUS"
1991,89,"0.14106","0.13176","0.5",28455,"3749","26581","135837","4.77","AUS"
1991,90,"0.16271","0.15046","0.5",24706,"3717","22847","109257","4.42","AUS"
1991,91,"0.18234","0.16711","0.5",20989,"3507","19235","86409","4.12","AUS"
1991,92,"0.20567","0.1865","0.5",17481,"3260","15851","67174","3.84","AUS"
1991,93,"0.21512","0.19423","0.5",14221,"2762","12840","51323","3.61","AUS"
1991,94,"0.23928","0.21371","0.5",11459,"2449","10235","38483","3.36","AUS"
1991,95,"0.26108","0.23093","0.5",9010,"2081","7970","28248","3.14","AUS"
1991,96,"0.28571","0.25","0.5",6929,"1732","6063","20278","2.93","AUS"
1991,97,"0.31169","0.26966","0.5",5197,"1401","4496","14215","2.74","AUS"
1991,98,"0.33891","0.2898","0.5",3796,"1100","3246","9719","2.56","AUS"
1991,99,"0.36723","0.31026","0.5",2696,"836","2277","6473","2.4","AUS"
1991,100,"0.39651","0.33091","0.5",1859,"615","1552","4196","2.26","AUS"
1991,101,"0.42654","0.35157","0.5",1244,"437","1025","2644","2.13","AUS"
1991,102,"0.45713","0.37209","0.5",807,"300","657","1619","2.01","AUS"
